PRES_51000,WDIR_51000,WSPD_51000,GUST_51000,PRES_51002,WDIR_51002,WSPD_51002,GUST_51002,time,dP_mb,dP_Pa,Ug_ms,Ug_kt,grad_mb_per_1000km,align_51000_deg,align_51002_deg,time_UTC,time_HST
1014.3,70.0,21.38224,25.26992,1007.8,20,17.49456,21.38224,2026-09-25 15:40:00+00:00,6.5,650.0,12.711929328109218,24.70995670515182,7.84663223316889,4.0,46.0,2026-09-25 15:40,2026-09-25 05:40
1014.2,70.0,21.38224,25.26992,1007.9,30,19.4384,23.32608,2026-09-25 15:50:00+00:00,6.300000000000068,630.0000000000068,12.320793041090607,23.949650344993564,7.605197395225314,4.0,36.0,2026-09-25 15:50,2026-09-25 05:50
1014.2,70.0,21.38224,25.26992,1008.0,30,17.49456,23.32608,2026-09-25 16:00:00+00:00,6.2000000000000455,620.0000000000045,12.12522489758119,23.569497164914218,7.484479976253458,4.0,36.0,2026-09-25 16:00,2026-09-25 06:00
1014.2,70.0,21.38224,25.26992,1008.1,20,17.49456,21.38224,2026-09-25 16:10:00+00:00,6.100000000000023,610.0000000000023,11.929656754071772,23.189343984834874,7.363762557281602,4.0,46.0,2026-09-25 16:10,2026-09-25 06:10
1014.3,80.0,21.38224,25.26992,1008.1,20,17.49456,21.38224,2026-09-25 16:20:00+00:00,6.199999999999932,619.9999999999932,12.125224897580967,23.569497164913788,7.484479976253321,14.0,46.0,2026-09-25 16:20,2026-09-25 06:20
1014.4,80.0,21.38224,25.26992,1008.2,30,19.4384,23.32608,2026-09-25 16:30:00+00:00,6.199999999999932,619.9999999999932,12.125224897580967,23.569497164913788,7.484479976253321,14.0,36.0,2026-09-25 16:30,2026-09-25 06:30
1014.5,70.0,21.38224,27.21376,1008.2,40,21.38224,27.21376,2026-09-25 16:40:00+00:00,6.2999999999999545,629.9999999999955,12.320793041090383,23.94965034499313,7.6051973952251775,4.0,26.0,2026-09-25 16:40,2026-09-25 06:40
1014.6,70.0,21.38224,27.21376,1008.3,40,23.32608,29.1576,2026-09-25 16:50:00+00:00,6.300000000000068,630.0000000000068,12.320793041090607,23.949650344993564,7.605197395225314,4.0,26.0,2026-09-25 16:50,2026-09-25 06:50
1014.8,70.0,21.38224,25.26992,1008.1,40,25.26992,33.04528,2026-09-25 17:00:00+00:00,6.699999999999932,669.9999999999932,13.103065615127829,25.47026306531008,8.088067071112466,4.0,26.0,2026-09-25 17:00,2026-09-25 07:00
1014.9,70.0,21.38224,25.26992,1008.5,40,25.26992,31.10144,2026-09-25 17:10:00+00:00,6.399999999999977,639.9999999999977,12.5163611845998,24.329803525072474,7.725914814197034,4.0,26.0,2026-09-25 17:10,2026-09-25 07:10
1015.0,70.0,19.4384,25.26992,1008.5,30,21.38224,27.21376,2026-09-25 17:20:00+00:00,6.5,650.0,12.711929328109218,24.70995670515182,7.84663223316889,4.0,36.0,2026-09-25 17:20,2026-09-25 07:20
1015.1,60.0,19.4384,23.32608,1008.6,30,19.4384,25.26992,2026-09-25 17:30:00+00:00,6.5,650.0,12.711929328109218,24.70995670515182,7.84663223316889,6.0,36.0,2026-09-25 17:30,2026-09-25 07:30
1015.2,60.0,19.4384,23.32608,1008.8,30,19.4384,23.32608,2026-09-25 17:40:00+00:00,6.400000000000091,640.0000000000091,12.516361184600022,24.329803525072908,7.725914814197171,6.0,36.0,2026-09-25 17:40,2026-09-25 07:40
1015.5,70.0,21.38224,25.26992,1009.0,30,19.4384,23.32608,2026-09-25 17:50:00+00:00,6.5,650.0,12.711929328109218,24.70995670515182,7.84663223316889,4.0,36.0,2026-09-25 17:50,2026-09-25 07:50
1015.6,60.0,19.4384,23.32608,1009.2,30,19.4384,27.21376,2026-09-25 18:00:00+00:00,6.399999999999977,639.9999999999977,12.5163611845998,24.329803525072474,7.725914814197034,6.0,36.0,2026-09-25 18:00,2026-09-25 08:00
